Episode,Avg_Reward_100,Avg_Final_Score_100,Total_Timesteps
100,1.10,40.08,3041
200,1.01,38.35,6073
300,0.94,40.29,9108
400,1.29,44.95,12134
500,1.23,41.30,15180
600,0.96,38.64,18219
700,1.29,42.46,21269
800,1.33,43.67,24252
900,1.18,41.95,27262
1000,1.15,41.94,30317
1100,1.18,42.10,33357
1200,1.26,42.72,36416
1300,1.25,41.45,39483
1400,1.04,41.07,42521
1500,1.18,41.99,45543
1600,1.06,43.66,48616
1700,1.35,43.83,51655
1800,1.32,43.44,54654
1900,1.35,42.18,57662
2000,1.24,41.32,60649
2100,0.90,40.48,63657
2200,1.43,42.89,66661
2300,1.19,42.86,69658
2400,1.32,43.15,72624
2500,1.10,41.59,75607
2600,1.26,42.25,78642
2700,1.27,42.58,81649
2800,1.18,42.70,84621
2900,1.16,41.38,87641
3000,1.37,44.24,90637
3100,1.02,40.81,93602
3200,1.53,44.92,96613
3300,1.08,40.13,99588
3400,1.15,42.95,102567
3500,1.26,41.55,105572
3600,1.17,41.01,108542
3700,1.21,38.97,111544
3800,1.29,40.98,114533
3900,1.11,38.97,117500
4000,1.37,43.54,120477
4100,1.11,40.96,123456
4200,1.32,42.55,126445
4300,1.32,40.37,129419
4400,1.14,43.37,132428
4500,1.23,42.38,135412
4600,1.01,39.05,138397
4700,1.31,40.23,141422
4800,1.24,40.71,144407
4900,1.38,45.41,147438
5000,1.16,44.04,150400
5100,1.31,43.64,153356
5200,1.13,38.39,156312
5300,1.10,41.18,159288
5400,1.18,41.30,162276
5500,1.31,42.96,165263
5600,0.97,38.58,168211
5700,1.13,40.36,171171
5800,1.31,43.41,174136
5900,1.28,39.86,177148
6000,1.13,41.61,180105
6100,1.40,42.55,183050
6200,1.16,40.88,186015
6300,1.18,40.25,188975
6400,1.53,44.79,191900
6500,1.24,42.24,194858
6600,1.25,42.61,197828
6700,1.34,43.58,200801
6800,1.40,42.06,203729
6900,1.36,39.95,206679
7000,1.59,44.26,209636
7100,1.40,44.39,212599
7200,1.25,40.29,215523
7300,1.19,38.60,218484
7400,1.39,45.60,221398
7500,1.38,44.45,224335
7600,1.24,43.22,227280
7700,1.10,38.50,230228
7800,1.23,42.52,233116
7900,1.41,43.67,236112
8000,1.39,40.96,239020
8100,1.21,41.41,241931
8200,1.19,40.38,244898
8300,1.33,41.10,247836
8400,1.25,42.54,250752
8500,1.48,42.13,253704
8600,1.53,43.12,256628
8700,1.29,41.53,259525
8800,1.30,42.99,262414
8900,1.10,41.39,265339
9000,1.43,42.11,268235
9100,1.46,43.49,271148
9200,1.32,42.82,274078
9300,1.11,40.05,277003
9400,1.41,44.41,279917
9500,1.11,41.46,282864
9600,1.31,43.30,285748
9700,1.22,42.60,288659
9800,1.13,39.17,291553
9900,1.39,41.83,294451
10000,1.22,41.83,297347
10100,1.35,42.21,300256
10200,1.31,45.50,303173
10300,1.39,42.06,306071
10400,1.40,43.35,308963
10500,1.13,40.81,311868
10600,1.53,44.58,314749
10700,1.19,41.36,317643
10800,1.42,42.28,320548
10900,1.24,41.85,323411
11000,1.42,44.48,326249
11100,1.36,42.53,329126
11200,1.65,46.55,332056
11300,1.30,43.16,334925
11400,1.42,44.81,337798
11500,1.40,41.79,340686
11600,1.38,40.78,343555
11700,1.35,42.84,346396
11800,1.48,42.99,349260
11900,1.40,41.24,352103
12000,1.27,40.20,355010
12100,1.33,42.45,357857
12200,1.22,41.11,360692
12300,1.42,43.46,363516
12400,1.46,42.32,366357
12500,1.34,42.00,369220
12600,1.37,41.38,372071
12700,1.42,45.15,374955
12800,1.33,42.66,377856
12900,1.35,41.51,380658
13000,1.36,41.67,383474
13100,1.36,40.74,386317
13200,1.43,41.88,389173
13300,1.50,43.52,391974
13400,1.61,45.64,394825
13500,1.36,43.97,397670
13600,1.41,42.10,400496
13700,1.46,40.50,403315
13800,1.56,44.28,406195
13900,1.61,44.94,409002
14000,1.42,42.54,411836
14100,1.33,41.24,414665
14200,1.34,42.78,417502
14300,1.41,43.65,420330
14400,1.34,42.51,423169
14500,1.51,42.52,425950
14600,1.29,41.84,428779
14700,1.41,42.63,431636
14800,1.31,41.91,434482
14900,1.36,42.28,437273
15000,1.53,46.09,440105
15100,1.55,41.38,442922
15200,1.32,39.73,445759
15300,1.49,42.02,448550
15400,1.46,42.05,451341
15500,1.62,44.17,454148
15600,1.51,41.82,456955
15700,1.57,44.35,459760
15800,1.49,43.09,462538
15900,1.48,41.60,465343
16000,1.45,42.94,468131
16100,1.30,40.26,470929
16200,1.38,42.05,473784
16300,1.45,40.73,476582
16400,1.45,41.07,479361
16500,1.53,44.92,482163
16600,1.34,42.68,484982
16700,1.45,44.98,487804
16800,1.39,43.03,490620
16900,1.44,43.31,493411
17000,1.57,43.60,496246
17100,1.53,43.97,499020
17200,1.38,42.76,501840
17300,1.44,43.04,504661
17400,1.53,41.11,507463
17500,1.41,45.43,510208
17600,1.56,43.28,512944
17700,1.51,43.77,515728
17800,1.46,42.82,518525
17900,1.58,45.61,521365
18000,1.62,42.90,524133
18100,1.38,41.66,526898
18200,1.60,44.37,529632
18300,1.48,42.78,532358
18400,1.50,43.15,535128
18500,1.42,44.53,537914
18600,1.52,42.83,540679
18700,1.56,46.72,543462
18800,1.38,43.93,546211
18900,1.42,42.32,548984
